count151,count152,count153,elev,route,forest,surveys
0,0,0,450,6.4,3,3
0,0,0,450,5.5,21,3
17,17,17,1050,4.3,32,3
3,2,2,950,4.5,9,3
16,20,16,1150,5.4,35,3
0,0,0,550,3.6,2,3
0,0,0,750,3.9,6,3
13,21,14,650,6.1,60,3
0,0,2,550,5.8,5,3
1,2,1,550,4.5,13,3
8,8,3,1150,3.8,50,3
15,8,15,750,7.7,57,3
5,4,2,1250,1.9,84,3
0,1,2,750,7.9,15,3
4,1,2,450,4.4,17,3
34,34,28,1050,6,58,3
3,5,3,750,6.2,26,3
17,14,6,1250,6.1,32,3
12,13,9,1250,4.5,66,3
4,3,7,350,6.2,45,3
0,0,0,750,4.1,44,3
4,3,4,750,4.5,9,3
5,6,8,550,6.9,31,3
0,0,0,350,4.7,8,3
21,9,12,1350,3.7,78,3
7,6,4,550,5.7,37,3
6,6,8,1150,4,18,3
25,17,13,1450,6.6,54,3
3,2,0,950,4.3,6,3
0,0,0,650,4.7,3,3
5,2,5,550,4.9,27,3
24,13,7,850,5.3,56,3
47,28,20,1250,5.6,66,3
0,0,0,450,6.7,5,3
18,20,16,1250,4,51,3
23,12,14,1150,5.1,43,3
5,3,32,750,6.5,40,3
0,0,0,550,5.2,5,3
0,0,0,450,5.5,3,3
15,7,7,1250,5.6,52,3
19,14,18,950,4.5,38,3
4,1,0,550,3.9,49,3
3,2,NA,1850,5.3,15,2
21,11,10,1950,4.8,62,3
37,30,24,1050,3.6,82,3
0,0,0,2050,4.7,0,2
30,26,12,1250,6,29,3
0,0,0,750,6.3,5,3
0,0,0,2250,3.6,0,2
31,14,20,1750,4.1,58,3
0,0,0,2250,4.1,0,2
15,17,13,1150,2.6,34,3
23,21,22,1150,3.3,98,3
0,2,0,650,4,33,3
10,11,12,550,6.9,53,3
6,3,2,1850,6.6,17,3
8,7,6,950,5.3,16,3
10,13,14,550,4.3,60,3
0,0,0,450,6.1,2,3
31,37,27,1450,5.5,52,3
40,43,15,850,6.9,58,3
19,18,11,1450,6.4,50,3
1,1,NA,1850,4.5,12,2
6,1,6,1450,4.5,29,3
12,18,9,550,4.9,16,3
12,16,18,550,3.2,83,3
19,11,7,750,4,79,3
31,22,19,1750,6,51,3
0,3,0,650,6.5,8,3
35,32,20,950,4.2,45,3
1,1,0,550,6.3,5,3
8,8,6,750,4.8,64,3
0,0,0,350,3.4,14,3
0,0,0,2750,1.9,0,2
0,0,0,2450,4.3,0,2
0,0,0,650,5.3,0,3
24,21,18,650,5.3,30,3
4,5,4,750,6.9,17,3
18,9,13,450,4.6,65,3
1,1,1,350,6.5,30,3
0,0,0,250,4.2,0,3
2,4,NA,1950,6.2,5,2
20,17,13,950,9,55,3
0,0,0,2350,7.1,0,2
0,0,0,2650,2.3,0,2
0,0,0,2450,4.1,0,2
43,24,29,1350,5.8,66,3
3,3,2,750,5.7,8,3
10,11,11,450,7.6,75,3
1,0,1,450,8.4,68,3
7,8,6,1950,4.6,72,3
21,19,17,1550,5.3,95,3
10,9,8,1850,5.7,57,3
18,14,7,1250,4,64,3
20,13,9,1350,4.9,44,3
10,6,13,850,4.8,44,3
17,12,12,750,5.6,34,3
8,6,7,650,6.4,21,3
9,5,2,450,5.9,23,3
0,0,0,2350,6.2,1,2
9,9,8,1650,5,43,3
17,7,7,2050,4.1,30,3
11,6,9,750,4.8,26,3
