count151,count152,count153,elev,route,forest,surveys
1,1,1,450,6.4,3,3
3,2,4,450,5.5,21,3
12,9,9,1050,4.3,32,3
3,2,1,950,4.5,9,3
10,12,9,1150,5.4,35,3
0,0,0,550,3.6,2,3
2,0,1,750,3.9,6,3
19,18,8,650,6.1,60,3
7,3,1,550,5.8,5,3
12,7,15,550,4.5,13,3
9,8,6,1150,3.8,50,3
23,7,10,750,7.7,57,3
12,10,11,1250,1.9,84,3
7,1,2,750,7.9,15,3
9,4,3,450,4.4,17,3
11,14,10,1050,6,58,3
11,3,2,750,6.2,26,3
15,15,16,1250,6.1,32,3
8,12,8,1250,4.5,66,3
4,3,6,350,6.2,45,3
12,7,8,750,4.1,44,3
4,2,5,750,4.5,9,3
6,6,10,550,6.9,31,3
2,3,5,350,4.7,8,3
7,10,7,1350,3.7,78,3
13,4,4,550,5.7,37,3
5,5,5,1150,4,18,3
8,10,5,1450,6.6,54,3
5,3,1,950,4.3,6,3
0,1,0,650,4.7,3,3
7,9,3,550,4.9,27,3
24,13,11,850,5.3,56,3
25,24,21,1250,5.6,66,3
4,0,0,450,6.7,5,3
30,13,24,1250,4,51,3
21,13,12,1150,5.1,43,3
7,8,3,750,6.5,40,3
0,0,2,550,5.2,5,3
0,0,2,450,5.5,3,3
24,15,14,1250,5.6,52,3
14,6,9,950,4.5,38,3
18,14,16,550,3.9,49,3
4,5,NA,1850,5.3,15,2
12,10,11,1950,4.8,62,3
23,16,26,1050,3.6,82,3
0,0,0,2050,4.7,0,2
17,13,9,1250,6,29,3
3,0,2,750,6.3,5,3
0,0,0,2250,3.6,0,2
8,9,7,1750,4.1,58,3
0,0,0,2250,4.1,0,2
10,8,6,1150,2.6,34,3
15,17,29,1150,3.3,98,3
2,3,6,650,4,33,3
17,13,14,550,6.9,53,3
4,10,19,1850,6.6,17,3
7,3,2,950,5.3,16,3
15,10,10,550,4.3,60,3
1,1,3,450,6.1,2,3
22,8,14,1450,5.5,52,3
51,27,36,850,6.9,58,3
21,17,7,1450,6.4,50,3
2,1,NA,1850,4.5,12,2
5,6,5,1450,4.5,29,3
14,6,10,550,4.9,16,3
8,7,2,550,3.2,83,3
8,15,14,750,4,79,3
14,11,14,1750,6,51,3
6,0,2,650,6.5,8,3
17,5,15,950,4.2,45,3
1,1,0,550,6.3,5,3
9,8,8,750,4.8,64,3
6,7,6,350,3.4,14,3
0,0,0,2750,1.9,0,2
0,0,0,2450,4.3,0,2
4,0,1,650,5.3,0,3
32,14,30,650,5.3,30,3
6,2,7,750,6.9,17,3
18,10,8,450,4.6,65,3
9,9,5,350,6.5,30,3
0,0,0,250,4.2,0,3
1,2,NA,1950,6.2,5,2
16,22,19,950,9,55,3
0,0,0,2350,7.1,0,2
0,0,0,2650,2.3,0,2
0,0,0,2450,4.1,0,2
25,11,24,1350,5.8,66,3
14,4,2,750,5.7,8,3
12,11,9,450,7.6,75,3
11,9,20,450,8.4,68,3
5,1,6,1950,4.6,72,3
4,7,12,1550,5.3,95,3
10,12,13,1850,5.7,57,3
11,13,17,1250,4,64,3
9,11,10,1350,4.9,44,3
20,13,10,850,4.8,44,3
8,5,6,750,5.6,34,3
8,6,8,650,6.4,21,3
11,5,4,450,5.9,23,3
0,0,0,2350,6.2,1,2
8,3,6,1650,5,43,3
11,6,8,2050,4.1,30,3
18,4,8,750,4.8,26,3
1,1,3,750,5.6,7,3
24,13,34,450,5.7,87,3
9,5,12,850,4.8,49,3
15,11,20,450,7.6,39,3
15,4,4,1050,5.4,93,3
17,20,17,1450,4.7,48,3
13,6,7,850,5.7,11,3
9,17,15,1250,4.8,73,3
3,2,2,550,5.9,12,3
0,0,0,2750,6.6,0,2
0,0,0,2450,4.5,0,2
11,11,10,1450,5.6,42,3
15,16,21,1450,6,26,3
6,1,3,750,3.2,13,3
1,2,1,450,4.5,2,3
0,1,NA,2050,4.4,15,2
5,2,3,2050,5.8,54,3
13,17,17,1750,5.5,74,3
10,11,12,1650,4.3,45,3
0,0,0,1950,5.2,0,2
22,7,20,650,5.9,61,3
12,16,12,550,5.5,33,3
20,8,8,650,3.5,54,3
19,9,9,1350,3.5,69,3
20,21,17,1250,6.2,47,3
4,1,1,650,6.5,5,3
5,8,12,450,7.7,36,3
4,7,5,1950,4.8,60,3
13,5,12,750,6.1,72,3
8,6,9,1050,4.8,29,3
3,1,2,650,5.6,7,3
3,3,4,450,4.3,7,3
3,3,1,350,4.3,13,3
0,0,0,350,8.3,2,3
1,4,0,1350,5.4,16,3
22,7,14,550,4.1,62,3
2,2,1,450,7.1,9,3
17,6,8,450,7.9,37,3
0,0,0,2150,4.9,0,2
38,19,25,550,5.7,71,3
5,9,10,1950,4.8,41,3
3,4,NA,1550,3.4,19,2
4,6,7,650,6.7,24,3
5,1,4,450,6,10,3
0,0,1,450,6.1,0,3
12,13,16,450,5.7,70,3
0,0,0,1850,3.5,1,2
4,6,10,1450,6.6,46,3
0,0,0,2250,5.7,0,2
14,7,6,1850,5.9,45,3
9,9,8,450,4.2,18,3
23,12,10,450,7.5,20,3
20,20,15,750,5,99,3
0,0,0,2050,5.7,0,2
11,12,16,1350,6,62,3
2,1,NA,1850,5.5,5,2
0,0,0,450,5,3,3
7,8,9,850,6.1,20,3
14,9,16,650,6.1,36,3
3,4,3,650,5.4,19,3
5,5,7,1750,4.1,35,3
24,14,18,1550,8.4,78,3
11,2,10,850,3.7,87,3
18,14,14,1750,4.2,80,3
20,9,16,1250,5.8,51,3
0,0,0,1850,1.4,0,2
6,5,4,950,4.7,21,3
3,2,4,550,6.1,11,3
20,10,11,450,4.7,29,3
24,13,12,450,4,55,3
18,9,4,450,7.2,54,3
0,0,0,2350,3.4,0,2
3,3,NA,1850,6.9,32,2
10,12,4,1350,4.5,32,3
4,0,1,450,5.3,3,3
