count151,count152,count153,elev,route,forest,surveys
16,19,14,450,6.4,3,3
14,10,11,450,5.5,21,3
16,8,6,1050,4.3,32,3
14,9,3,950,4.5,9,3
8,7,5,1150,5.4,35,3
9,3,3,550,3.6,2,3
10,6,13,750,3.9,6,3
5,13,11,650,6.1,60,3
14,5,9,550,5.8,5,3
3,4,2,550,4.5,13,3
7,4,2,1150,3.8,50,3
45,33,30,750,7.7,57,3
3,4,3,1250,1.9,84,3
32,16,16,750,7.9,15,3
8,1,3,450,4.4,17,3
7,8,4,1050,6,58,3
12,14,3,750,6.2,26,3
6,4,8,1250,6.1,32,3
1,0,1,1250,4.5,66,3
15,10,8,350,6.2,45,3
18,4,4,750,4.1,44,3
9,7,7,750,4.5,9,3
14,12,8,550,6.9,31,3
7,1,1,350,4.7,8,3
0,2,0,1350,3.7,78,3
16,8,7,550,5.7,37,3
10,9,10,1150,4,18,3
2,2,2,1450,6.6,54,3
4,1,3,950,4.3,6,3
7,3,4,650,4.7,3,3
9,4,10,550,4.9,27,3
8,5,6,850,5.3,56,3
7,10,5,1250,5.6,66,3
15,9,11,450,6.7,5,3
4,3,7,1250,4,51,3
4,6,7,1150,5.1,43,3
16,3,4,750,6.5,40,3
7,6,4,550,5.2,5,3
8,14,5,450,5.5,3,3
19,6,14,1250,5.6,52,3
8,2,2,950,4.5,38,3
17,6,11,550,3.9,49,3
7,4,NA,1850,5.3,15,2
0,0,0,1950,4.8,62,3
4,3,2,1050,3.6,82,3
0,0,0,2050,4.7,0,2
2,7,3,1250,6,29,3
10,9,8,750,6.3,5,3
0,0,0,2250,3.6,0,2
2,4,6,1750,4.1,58,3
0,0,0,2250,4.1,0,2
9,9,8,1150,2.6,34,3
4,3,1,1150,3.3,98,3
16,23,17,650,4,33,3
13,11,8,550,6.9,53,3
0,0,0,1850,6.6,17,3
5,5,9,950,5.3,16,3
12,7,6,550,4.3,60,3
20,11,10,450,6.1,2,3
19,17,17,1450,5.5,52,3
35,26,20,850,6.9,58,3
2,4,2,1450,6.4,50,3
0,0,0,1850,4.5,12,2
0,0,0,1450,4.5,29,3
3,3,2,550,4.9,16,3
7,6,5,550,3.2,83,3
7,4,7,750,4,79,3
12,11,16,1750,6,51,3
16,9,6,650,6.5,8,3
5,6,3,950,4.2,45,3
11,13,9,550,6.3,5,3
