count151,count152,count153,elev,route,forest,surveys
0,0,0,450,6.4,3,3
1,2,3,450,5.5,21,3
6,7,9,1050,4.3,32,3
1,0,1,950,4.5,9,3
7,10,11,1150,5.4,35,3
1,0,0,550,3.6,2,3
0,1,0,750,3.9,6,3
4,10,9,650,6.1,60,3
4,5,1,550,5.8,5,3
6,9,10,550,4.5,13,3
7,6,4,1150,3.8,50,3
7,7,6,750,7.7,57,3
9,9,7,1250,1.9,84,3
0,1,1,750,7.9,15,3
1,2,7,450,4.4,17,3
12,12,14,1050,6,58,3
6,5,3,750,6.2,26,3
7,3,4,1250,6.1,32,3
4,10,5,1250,4.5,66,3
11,6,7,350,6.2,45,3
2,2,0,750,4.1,44,3
4,2,3,750,4.5,9,3
5,12,7,550,6.9,31,3
0,0,1,350,4.7,8,3
11,9,8,1350,3.7,78,3
8,3,4,550,5.7,37,3
4,3,5,1150,4,18,3
7,8,8,1450,6.6,54,3
6,0,1,950,4.3,6,3
1,0,0,650,4.7,3,3
9,5,4,550,4.9,27,3
10,7,7,850,5.3,56,3
2,8,10,1250,5.6,66,3
0,0,0,450,6.7,5,3
14,8,12,1250,4,51,3
8,10,11,1150,5.1,43,3
2,2,0,750,6.5,40,3
0,0,0,550,5.2,5,3
0,0,0,450,5.5,3,3
13,16,9,1250,5.6,52,3
4,4,5,950,4.5,38,3
12,10,11,550,3.9,49,3
0,0,0,1850,5.3,15,2
0,2,1,1950,4.8,62,3
16,16,5,1050,3.6,82,3
0,0,0,2050,4.7,0,2
25,14,8,1250,6,29,3
0,1,1,750,6.3,5,3
0,0,0,2250,3.6,0,2
6,2,5,1750,4.1,58,3
0,0,0,2250,4.1,0,2
13,7,11,1150,2.6,34,3
7,17,10,1150,3.3,98,3
3,4,3,650,4,33,3
5,4,10,550,6.9,53,3
1,2,0,1850,6.6,17,3
2,1,3,950,5.3,16,3
6,5,3,550,4.3,60,3
1,0,0,450,6.1,2,3
5,8,8,1450,5.5,52,3
18,12,14,850,6.9,58,3
7,12,15,1450,6.4,50,3
0,2,NA,1850,4.5,12,2
2,2,3,1450,4.5,29,3
9,7,6,550,4.9,16,3
4,12,4,550,3.2,83,3
14,11,10,750,4,79,3
3,3,5,1750,6,51,3
2,0,1,650,6.5,8,3
13,11,11,950,4.2,45,3
1,2,1,550,6.3,5,3
4,5,3,750,4.8,64,3
4,6,5,350,3.4,14,3
0,0,0,2750,1.9,0,2
0,0,0,2450,4.3,0,2
0,0,0,650,5.3,0,3
10,20,16,650,5.3,30,3
4,1,3,750,6.9,17,3
16,7,6,450,4.6,65,3
4,7,1,350,6.5,30,3
0,0,0,250,4.2,0,3
3,1,NA,1950,6.2,5,2
11,4,5,950,9,55,3
0,0,0,2350,7.1,0,2
0,0,0,2650,2.3,0,2
0,0,0,2450,4.1,0,2
4,2,8,1350,5.8,66,3
1,3,2,750,5.7,8,3
4,7,6,450,7.6,75,3
1,1,2,450,8.4,68,3
12,10,12,1950,4.6,72,3
17,16,14,1550,5.3,95,3
1,4,4,1850,5.7,57,3
4,4,7,1250,4,64,3
7,7,7,1350,4.9,44,3
4,5,6,850,4.8,44,3
8,9,13,750,5.6,34,3
2,2,4,650,6.4,21,3
3,3,7,450,5.9,23,3
0,0,0,2350,6.2,1,2
3,2,3,1650,5,43,3
5,2,2,2050,4.1,30,3
4,2,5,750,4.8,26,3
1,1,1,750,5.6,7,3
14,7,13,450,5.7,87,3
7,8,9,850,4.8,49,3
7,6,8,450,7.6,39,3
3,1,1,1050,5.4,93,3
11,5,8,1450,4.7,48,3
2,1,6,850,5.7,11,3
6,8,6,1250,4.8,73,3
0,0,0,550,5.9,12,3
0,0,0,2750,6.6,0,2
0,0,0,2450,4.5,0,2
12,2,3,1450,5.6,42,3
9,8,8,1450,6,26,3
11,4,1,750,3.2,13,3
1,2,1,450,4.5,2,3
1,0,NA,2050,4.4,15,2
5,4,4,2050,5.8,54,3
13,7,4,1750,5.5,74,3
8,8,10,1650,4.3,45,3
0,0,0,1950,5.2,0,2
28,24,27,650,5.9,61,3
12,15,7,550,5.5,33,3
6,2,3,650,3.5,54,3
14,4,5,1350,3.5,69,3
12,14,6,1250,6.2,47,3
1,1,1,650,6.5,5,3
4,6,3,450,7.7,36,3
6,3,3,1950,4.8,60,3
4,1,5,750,6.1,72,3
12,10,3,1050,4.8,29,3
1,1,0,650,5.6,7,3
0,0,0,450,4.3,7,3
1,1,0,350,4.3,13,3
0,0,0,350,8.3,2,3
3,2,2,1350,5.4,16,3
2,3,7,550,4.1,62,3
1,3,1,450,7.1,9,3
8,4,4,450,7.9,37,3
0,0,0,2150,4.9,0,2
6,16,11,550,5.7,71,3
1,1,0,1950,4.8,41,3
0,3,NA,1550,3.4,19,2
6,4,9,650,6.7,24,3
2,1,2,450,6,10,3
0,0,0,450,6.1,0,3
7,8,5,450,5.7,70,3
0,0,0,1850,3.5,1,2
1,4,3,1450,6.6,46,3
0,0,0,2250,5.7,0,2
3,2,0,1850,5.9,45,3
2,3,1,450,4.2,18,3
5,1,3,450,7.5,20,3
